Validation_Set,Topics,Alpha,Beta,Coherence,Iteration
50% Corpus,7,0.31,0.61,0.551073023,158
50% Corpus,7,0.31,0.91,0.48259451,159
50% Corpus,7,0.31,symmetric,0.470514215,160
50% Corpus,7,0.61,0.01,0.494844052,161
50% Corpus,7,0.61,0.31,0.463849122,162
50% Corpus,7,0.61,0.61,0.530729619,163
50% Corpus,7,0.61,0.91,0.447715138,164
50% Corpus,7,0.61,symmetric,0.49707934,165
50% Corpus,7,0.91,0.01,0.491782103,166
50% Corpus,7,0.91,0.31,0.500193507,167
50% Corpus,7,0.91,0.61,0.521281672,168
50% Corpus,7,0.91,0.91,0.544522198,169
50% Corpus,7,0.91,symmetric,0.50372717,170
50% Corpus,7,symmetric,0.01,0.479609188,171
50% Corpus,7,symmetric,0.31,0.436765574,172
50% Corpus,7,symmetric,0.61,0.487487026,173
50% Corpus,7,symmetric,0.91,0.407444913,174
50% Corpus,7,symmetric,symmetric,0.456160877,175
50% Corpus,7,asymmetric,0.01,0.490579985,176
50% Corpus,7,asymmetric,0.31,0.496971459,177
50% Corpus,7,asymmetric,0.61,0.428041554,178
50% Corpus,7,asymmetric,0.91,0.419475371,179
50% Corpus,7,asymmetric,symmetric,0.421767846,180
100% Corpus,2,0.01,0.01,0.41466394,181
100% Corpus,2,0.01,0.31,0.41466394,182
100% Corpus,2,0.01,0.61,0.411307137,183
100% Corpus,2,0.01,0.91,0.411307137,184
100% Corpus,2,0.01,symmetric,0.41466394,185
100% Corpus,2,0.31,0.01,0.41466394,186
100% Corpus,2,0.31,0.31,0.41466394,187
100% Corpus,2,0.31,0.61,0.421388588,188
100% Corpus,2,0.31,0.91,0.419639337,189
100% Corpus,2,0.31,symmetric,0.41466394,190
100% Corpus,2,0.61,0.01,0.459535895,191
100% Corpus,2,0.61,0.31,0.459535895,192
100% Corpus,2,0.61,0.61,0.460035936,193
100% Corpus,2,0.61,0.91,0.460035936,194
100% Corpus,2,0.61,symmetric,0.459535895,195
100% Corpus,2,0.91,0.01,0.447556253,196
100% Corpus,2,0.91,0.31,0.453830325,197
100% Corpus,2,0.91,0.61,0.453830325,198
100% Corpus,2,0.91,0.91,0.459535895,199
100% Corpus,2,0.91,symmetric,0.460035936,200
100% Corpus,2,symmetric,0.01,0.450669822,201
100% Corpus,2,symmetric,0.31,0.450669822,202
100% Corpus,2,symmetric,0.61,0.459535895,203
100% Corpus,2,symmetric,0.91,0.449835501,204
100% Corpus,2,symmetric,symmetric,0.459535895,205
100% Corpus,2,asymmetric,0.01,0.459385202,206
100% Corpus,2,asymmetric,0.31,0.459385202,207
100% Corpus,2,asymmetric,0.61,0.455110063,208
100% Corpus,2,asymmetric,0.91,0.455110063,209
100% Corpus,2,asymmetric,symmetric,0.455839996,210
100% Corpus,3,0.01,0.01,0.430302915,211
100% Corpus,3,0.01,0.31,0.44950972,212
100% Corpus,3,0.01,0.61,0.43931336,213
100% Corpus,3,0.01,0.91,0.482200675,214
100% Corpus,3,0.01,symmetric,0.440776232,215
100% Corpus,3,0.31,0.01,0.446468653,216
100% Corpus,3,0.31,0.31,0.435879698,217
100% Corpus,3,0.31,0.61,0.438339825,218
100% Corpus,3,0.31,0.91,0.457830901,219
100% Corpus,3,0.31,symmetric,0.434389403,220
100% Corpus,3,0.61,0.01,0.474372672,221
100% Corpus,3,0.61,0.31,0.479510833,222
100% Corpus,3,0.61,0.61,0.485544239,223
100% Corpus,3,0.61,0.91,0.481774401,224
100% Corpus,3,0.61,symmetric,0.472081741,225
100% Corpus,3,0.91,0.01,0.479509123,226
100% Corpus,3,0.91,0.31,0.479508272,227
100% Corpus,3,0.91,0.61,0.46998684,228
100% Corpus,3,0.91,0.91,0.493680547,229
100% Corpus,3,0.91,symmetric,0.474418369,230
100% Corpus,3,symmetric,0.01,0.457611941,231
100% Corpus,3,symmetric,0.31,0.450400747,232
100% Corpus,3,symmetric,0.61,0.438339825,233
100% Corpus,3,symmetric,0.91,0.463607289,234
100% Corpus,3,symmetric,symmetric,0.450374159,235
100% Corpus,3,asymmetric,0.01,0.500249707,236
100% Corpus,3,asymmetric,0.31,0.486049788,237
100% Corpus,3,asymmetric,0.61,0.437155989,238
100% Corpus,3,asymmetric,0.91,0.538927353,239
100% Corpus,3,asymmetric,symmetric,0.490058345,240
100% Corpus,4,0.01,0.01,0.421484373,241
100% Corpus,4,0.01,0.31,0.441606643,242
100% Corpus,4,0.01,0.61,0.525343968,243
100% Corpus,4,0.01,0.91,0.511888243,244
100% Corpus,4,0.01,symmetric,0.421297158,245
100% Corpus,4,0.31,0.01,0.444997059,246
100% Corpus,4,0.31,0.31,0.426268464,247
